URL;Código de respuesta;Error de Google Noticias;Detectado;;;
;Categoría;Plataforma;Último rastreo;;;
http://m.futbolred.com/seleccion-colombia/esta-es-la-agenda-de-colombia-en-la-primera-ronda-de-rusia-2018+16873748;404;;22/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-bbva/maraton-de-partidos-de-real-madrid-5-compromisos-en-solo-16-dias-+16811941;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-bbva/real-madrid-buscara-extender-su-ventaja-en-la-punta-visita-a-valencia+16825662;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/alianza-petrolera-busca-su-quinta-victoria-en-casa-contra-pasto+16272536;404;;26/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/colombianos-exterior/santos-derroto-1-0-al-palmeiras-con-gol-de-jonathan-copete+16738273;404;;13/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/colombianos-exterior/segun-la-prensa-mexicana-america-no-llego-a-un-acuerdo-con-quintero+16692398;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/colombianos-exterior/cuatro-anos-y-dos-dias-la-ultima-vez-que-falcao-anoto-tres-goles+16770186;404;;27/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/champions-league/ancelotti-confirmo-que-jugara-con-su-mejor-equipo-frente-al-arsenal+16835732;404;;12/03/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/futbol-femenino/respetamos-a-bucaramanga-pero-esto-ya-no-es-de-nombres-i-vidal+16852730;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/premier-league/falcao-ya-se-recupero-y-lleva-diez-dias-trabajando-guus-hiddink+16540507;404;;22/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/champions-league/si-uno-esta-bien-y-vuelve-a-sonreir-salen-bien-las-cosas-casillas+16822473;404;;28/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/claudio-ranieri-dirigira-a-felipe-pardo-en-el-nantes-de-francia+16855860;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/selecciones-nacionales/uruguay-estrenara-su-nueva-camiseta-este-viernes-frente-a-brasil+16543517;404;;23/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/torneo-aguila/la-cancha-de-popayan-no-es-la-mejor-pero-superaremos-eso-ayala+16751613;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/selecciones-nacionales/neymar-capitan-y-figura-se-incorporo-a-la-concentracion-de-brasil-+16842843;404;;26/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/con-el-regreso-de-caicedo-dim-quiere-el-triunfo-frente-a-nacional+16842337;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/sevilla-le-gano-1-0-a-leipzig-en-partido-inagural-de-la-emirates-cup+16861243;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/torino-se-dio-un-festin-frente-a-palermo-le-gano-1-4-en-el-calcio+16728589;404;;27/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/seleccion-colombia/estoy-recuperado-y-ansioso-de-jugar-contra-camerun-yerry-mina+16855420;404;;27/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/torneo-aguila/union-valledupar-r-santander-y-orsomarso-iniciaron-ganando-en-la-b+16817311;404;;27/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/colombianos-exterior/venia-buscando-ser-maximo-goleador-desde-que-llegue-a-tijuana-dayro+16755207;404;;23/02/2018;No se encuentra;Ordenadores;12/04/2018
http://m.futbolred.com/seleccion-colombia/asi-les-fue-el-fin-de-semana-a-los-recientes-convocados-a-la-seleccion+16864186;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-bbva/el-tas-reduce-la-sancion-al-real-madrid-que-podra-fichar-en-verano+16776981;404;;26/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/millonarios-gano-su-primer-partido-en-la-liga-3-0-sobre-bucaramanga+16817828;404;;06/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/futbol-femenino/asi-va-la-liga-femenina-a-falta-del-partido-cartagena-bucaramanga+16835092;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/colombianos-exterior/ni-james-ni-yo-vamos-a-hablar-mas-de-estas-cosas-zinedine-zidane+16846328;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/junior-se-despide-del-metropolitano-por-la-liga-i-recibe-al-tolima+16852830;404;;10/03/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/curiosidades/la-reaccion-de-falcao-tras-ingreso-de-pato-en-juego-contra-aston-villa+16552676;404;;27/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/torneo-aguila/tecnico-y-jugadores-de-quindio-fueron-agredidos-por-hinchas-violentos+16856372;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/copa-sudamericana/tolima-a-mantener-su-ventaja-en-la-altura-de-la-paz-visita-a-bolivar+16854328;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/selecciones-nacionales/bolillo-le-gano-el-pulso-a-pinto-honduras-0--panama-1-en-hexagonal+16748365;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/deportivo-cali-busca-alejar-las-criticas-en-su-visita-a-santa-fe+16863299;404;;21/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/dos-golazos-y-tres-puntos-cortulua-vencio-2-0-a-jaguares+16535979;404;;28/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/selecciones-nacionales/alejandro-guerra-sustituye-a-mario-rondon-en-convocatoria-de-venezuela+16541135;404;;28/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/ojala-consigamos-hacer-lo-mismo-pero-con-mas-acierto-juan-m-lillo+16862626;404;;25/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/premier-league/llegar-a-la-final-en-mi-primera-temporada-es-un-logro-inmenso-conte+16848639;404;;26/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/los-lastres-que-le-impidieron-al-america-seguir-sonando-con-la-final+16855690;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/champions-league/yo-solo-pido-que-no-me-silben-en-el-bernabeu-cristiano-ronaldo+16847837;404;;27/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/medellin-contara-con-lo-mejor-de-su-nomina-para-derrotar-a-nacional+16732090;404;;02/03/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/colombianos-exterior/adrian-ramoslesion-grado-i-en-aductor-y-esta-pendiente-de-evolucion+16840418;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/copa-sudamericana/quiero-un-equipo-corto-y-que-cubra-las-espaldas-juan-jose-pelaez+16857779;404;;10/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/mujer-que-denuncio-abuso-de-futbolistas-habria-consentido-la-relacion-+16860835;404;;02/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/seleccion-colombia/demostramos-a-los-periodistas-que-con-categoria-se-gana-borja+16844418;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/colombianos-exterior/muriel-inicio-la-remontada-de-la-sampdoria-victoria-3-1-sobre-bologna+16817650;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/los-cambios-en-los-partidos-de-miguel-russo-solucion-o-problema+16861594;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/santa-fe-quiere-ver-el-cielo-y-no-el-infierno-visita-al-america+16849343;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/farias-operado-con-exito-de-rodilla-y-estara-seis-semanas-en-reposo+16848314;404;;27/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/nacional-se-pone-al-dia-en-liga-i-y-busca-la-victoria-frente-a-junior+16849139;404;;25/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/lo-bueno-lo-malo-lo-feo-y-mas-de-las-semis-de-vuelta-de-liga-i+16855705;404;;27/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/copa-sudamericana/con-alvarez-balanta-todo-el-partido-river-derroto-3-1-a-chapecoense-+16409920;404;;02/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/con-39-puntos-rueda-supero-el-record-del-mejor-nacional-de-osorio+16415926;404;;16/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/medellin-a-mantenerse-en-lo-alto-de-la-liga-i-en-visita-a-cortulua+16824759;404;;22/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/champions-league/barcelona-ratifico-su-liderato-con-goleada-4-0-sobre-monchenglabach+16767125;404;;26/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/nos-marcamos-un-camino-que-es-figurar-y-estar-en-finales-cardenas+16855922;404;;28/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/millonarios-a-inclinar-la-serie-a-su-favor-en-su-visita-a-bucaramanga+16854210;404;;15/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-bbva/a-james-le-deseo-la-mayor-de-las-suertes-en-bayern-zinedine-zidane+16860550;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/boca-juniors-despidio-a-daniel-osvaldo-tras-acto-de-indisciplina+16591433;404;;16/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/liga-aguila/alineaciones-confirmadas-para-la-final-de-ida-entre-tolima-y-santa-fe+16773235;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/atletico-bucaramanga-sigue-sonando-con-la-semifinal-de-la-liga+16854787;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/con-luis-muriel-todo-el-partido-sampdoria-perdio-1-2-frente-a-lazio+16770123;404;;27/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/colombianos-exterior/buen-partido-de-copete-en-brasil-gol-y-dos-asistencias-para-santos+16635987;404;;27/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/torneo-aguila/america-a-coronar-su-ascenso-con-el-titulo-en-el-torneo-de-la-b+16769717;404;;27/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/colombianos-exterior/no-he-llegado-a-mi-tope-voy-a-seguir-aprendiendo-davinson-sanchez+16857552;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/william-tesillo-fractura-del-quinto-metatarsiano-ocho-semanas-afuera+16842214;404;;27/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/futbol-femenino/santa-fe-orsomarso-y-envigado-a-seguir-invictas-en-la-liga-femenina+16845148;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/la-dimayor-modifico-el-horario-del-partido-patriotas-vs-tolima+16758896;404;;24/02/2018;No se encuentra;Ordenadores;16/04/2018
http://m.futbolred.com/copa-libertadores/medellin-a-mostrar-su-buen-futbol-en-debut-en-copa-frente-a-river+16841389;404;;26/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/colombianos-exterior/los-partidos-de-james-ultimamente-han-sido-buenos-zinedine-zidane+16849905;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/roma-da-ventajas-en-su-lucha-por-el-titulo-perdio-1-3-frente-a-lazio+16849819;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/wilmar-roldan-encargado-de-impartir-justicia-en-la-final-de-la-liga+16774882;404;;12/03/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/colombianos-exterior/david-ospina-esta-completamente-apto-para-volver-arsene-wenger+16850450;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/colombianos-exterior/america-tiene-historia-y-viene-construyendo-su-futuro-adrian-ramos+16855025;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/copa-libertadores/este-es-the-strongest-rival-de-santa-fe-en-la-copa-libertadores+16835651;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/copa-sudamericana/hinchas-del-medellin-tambien-asistieron-a-homenaje-a-chapecoense+16763307;404;;15/03/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/selecciones-nacionales/asi-seria-la-fecha-perfecta-para-colombia-en-la-eliminatoria-a-rusia+16746938;404;;05/03/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/el-bayern-con-james-se-enfrenta-en-la-audi-cup-al-liverpool+16861505;404;;17/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/copa-libertadores/dim-recibe-a-melgar-con-la-necesidad-de-ganar-en-copa-libertadores+16848218;404;;25/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/sporting-vs-porto-el-juego-mas-importante-de-la-fecha-3-en-portugal+16683008;404;;27/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/otras-ligas-de-futbol/semifinales-de-champions-y-europa-league-entre-lo-destacado-de-mayo+16849861;404;;24/02/2018;No se encuentra;Ordenadores;14/04/2018
http://m.futbolred.com/copa-sudamericana/nacional-visitara-a-sol-de-america-con-la-meta-de-traer-un-buen-botin+16706183;404;;22/02/2018;No se encuentra;Ordenadores;13/04/2018
http://m.futbolred.com/liga-aguila/patriotas-espera-sacudirse-del-mal-debut-liguero-recibe-a-bucaramanga+16501939;404;;24/02/2018;No se encuentra;Ordenadores;15/04/2018
http://m.futbolred.com/liga-aguila/no-me-case-con-un-once-titular-me-case-con-el-grupo-gustavo-costas+16829440;404;;28/02/2018;No se encuentra;Ordenadores;15/04/2018
